,relevance,queryid,bm25 score,query length,document length,# of matched q/d terms,min idf,max idf,min tf,max tf,phrase frequency
45,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
46,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
47,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
48,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
49,1,128,6.7858496,3,196,2,2.2598488,3.5142653,0.46780688,0.6374229,0.0
50,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
51,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
52,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
53,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
54,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
55,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
56,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
57,1,128,7.0399756,3,200,2,2.2598488,3.5142653,0.45239204,0.71250916,0.0
58,1,128,7.0654955,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
59,1,128,9.051041,3,200,2,2.2598488,3.5142653,0.71250916,0.71250916,0.0
60,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
61,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
62,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
63,1,128,7.9135094,3,200,2,2.2598488,3.5142653,0.62296134,0.62296134,0.0
64,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
65,1,128,5.346655,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
66,1,128,17.957157,3,183,3,2.2598488,3.5142653,0.48430926,0.6525719,1.0
67,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
68,1,128,17.746643,3,152,3,2.2598488,3.5142653,0.50201845,0.50201845,1.0
69,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
70,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
71,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
72,1,128,8.358711,3,200,2,2.2598488,3.5142653,0.62296134,0.71250916,0.0
73,1,128,3.5423589,3,200,1,2.2598488,2.2598488,0.71250916,0.71250916,0.0
74,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
75,1,128,6.0660744,3,200,2,2.2598488,2.260108,0.45239204,0.76768476,0.0
76,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
77,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
78,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
79,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
80,1,128,0.0,3,193,0,0.0,0.0,0.0,0.0,0.0
81,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
82,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
83,1,128,0.0,3,169,0,0.0,0.0,0.0,0.0,0.0
84,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
85,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
86,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
87,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
88,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
89,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
90,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
91,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
92,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
93,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
94,1,128,7.9961605,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,0.0
95,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
96,1,128,7.0654955,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
97,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
98,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
99,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
100,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
101,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
102,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
103,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
104,0,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
105,0,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
106,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
107,1,128,3.5423589,3,200,1,2.2598488,2.2598488,0.71250916,0.71250916,0.0
108,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
109,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
110,1,128,5.3465576,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
111,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
112,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
113,0,128,0.0,3,176,0,0.0,0.0,0.0,0.0,0.0
114,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
115,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
116,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
117,1,128,12.535164,3,200,3,2.2598488,3.5142653,0.45239204,0.71250916,0.09090909
118,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
119,1,128,3.5427651,3,200,1,2.260108,2.260108,0.71250916,0.71250916,0.0
120,1,128,0.0,3,147,0,0.0,0.0,0.0,0.0,0.0
121,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
122,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
123,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
124,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
125,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
126,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
127,0,128,3.5423589,3,200,1,2.2598488,2.2598488,0.71250916,0.71250916,0.0
128,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
129,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
130,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
131,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
132,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
133,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
134,1,128,5.7917595,3,200,2,2.2598488,2.260108,0.45239204,0.71250916,0.0
135,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
136,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
137,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
138,1,128,6.3771667,3,164,2,2.2598488,3.5142653,0.50201845,0.50201845,0.0
139,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
140,0,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
141,1,128,3.5423589,3,200,1,2.2598488,2.2598488,0.71250916,0.71250916,0.0
142,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
143,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
144,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
145,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
146,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
147,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
148,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
149,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
150,1,128,15.99232,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,1.0
151,1,128,5.3465576,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
152,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
153,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
154,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
155,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
156,1,128,5.3465576,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
157,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
158,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
159,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
160,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
161,1,128,7.9961605,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,0.0
162,1,128,4.9920244,3,153,2,2.2598488,2.260108,0.50201845,0.50201845,0.0
163,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
164,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
165,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
166,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
167,1,128,0.0,3,178,0,0.0,0.0,0.0,0.0,0.0
168,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
169,1,128,16.840334,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,1.0
170,1,128,2.3260472,3,185,1,2.260108,2.260108,0.46780688,0.46780688,0.0
171,1,128,0.0,3,163,0,0.0,0.0,0.0,0.0,0.0
172,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
173,1,128,17.98187,3,200,3,2.2598488,3.5142653,0.45239204,0.85256976,1.0
174,1,128,7.0654955,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
175,0,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
176,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
177,1,128,3.169055,3,189,1,2.2598488,2.2598488,0.6374229,0.6374229,0.0
178,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
179,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
180,1,128,4.238693,3,200,1,2.2598488,2.2598488,0.85256976,0.85256976,0.0
181,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
182,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
183,1,128,6.7858496,3,194,2,2.2598488,3.5142653,0.46780688,0.6374229,0.0
184,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
185,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
186,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
187,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
188,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
189,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
190,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
191,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
192,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
193,1,128,7.9135094,3,200,2,2.2598488,3.5142653,0.62296134,0.62296134,0.0
194,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
195,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
196,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
197,1,128,8.358711,3,200,2,2.2598488,3.5142653,0.62296134,0.71250916,0.0
198,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
199,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
200,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
201,1,128,5.346655,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
202,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
203,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
204,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
205,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
206,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
207,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
208,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
209,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
210,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
211,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
212,1,128,17.285536,3,200,3,2.2598488,3.5142653,0.45239204,0.71250916,1.0
213,1,128,3.8166735,3,200,1,2.2598488,2.2598488,0.76768476,0.76768476,0.0
214,1,128,3.5423589,3,200,1,2.2598488,2.2598488,0.71250916,0.71250916,0.0
215,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
216,1,128,16.840431,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,1.0
217,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
218,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
219,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
220,1,128,7.0654955,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
221,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
222,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
223,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
224,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
225,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
226,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
227,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
228,1,128,16.840334,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,1.0
229,1,128,6.6398706,3,200,2,2.2598488,2.260108,0.62296134,0.71250916,0.0
230,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
231,1,128,15.99232,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,1.0
232,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
233,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
234,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
235,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
236,1,128,17.285536,3,200,3,2.2598488,3.5142653,0.45239204,0.71250916,1.0
237,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
238,0,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
239,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
240,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
241,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
242,1,128,5.3465576,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
243,1,128,11.574757,3,200,3,2.2598488,3.5142653,0.45239204,0.76768476,0.0
244,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
245,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
246,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
247,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
248,1,128,0.0,3,186,0,0.0,0.0,0.0,0.0,0.0
249,1,128,6.4959307,3,145,2,2.2598488,3.5142653,0.51136774,0.51136774,0.0
250,1,128,7.0399756,3,200,2,2.2598488,3.5142653,0.45239204,0.71250916,0.0
251,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
252,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
253,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
254,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
255,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
256,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
257,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
258,1,128,0.0,3,193,0,0.0,0.0,0.0,0.0,0.0
259,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
260,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
261,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
262,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
263,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
264,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
265,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
266,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
267,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
268,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
269,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
270,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
271,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
272,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
273,1,128,6.639922,3,200,2,2.2598488,2.260108,0.62296134,0.71250916,0.0
274,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
275,1,128,4.4985437,3,200,2,2.2598488,2.260108,0.45239204,0.45239204,0.0
276,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
277,1,128,0.0,3,180,0,0.0,0.0,0.0,0.0,0.0
278,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
279,1,128,12.743233,3,200,3,2.2598488,3.5142653,0.62296134,0.83212304,0.0
280,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
281,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
282,1,128,7.204651,3,161,2,2.2598488,3.5142653,0.50201845,0.66845846,0.0
283,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
284,1,128,2.4078248,3,168,1,2.2598488,2.2598488,0.48430926,0.48430926,0.0
285,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
286,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
287,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
288,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
289,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
290,1,128,5.3465576,3,200,2,2.2598488,2.260108,0.45239204,0.62296134,0.0
291,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
292,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
293,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
294,1,128,8.844174,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
295,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
296,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
297,1,128,0.0,3,196,0,0.0,0.0,0.0,0.0,0.0
298,1,128,16.537243,3,195,3,2.2598488,3.5142653,0.46780688,0.46780688,1.0
299,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
300,1,128,15.99232,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,1.0
301,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
302,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
303,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
304,1,128,5.942575,3,198,2,2.2598488,3.5142653,0.46780688,0.46780688,0.0
305,1,128,22.716995,3,200,3,2.2598488,3.5142653,0.62296134,0.71250916,2.125
306,1,128,8.844272,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,0.0
307,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
308,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
309,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
310,1,128,3.6167946,3,186,1,3.5142653,3.5142653,0.46780688,0.46780688,0.0
311,1,128,2.2494009,3,200,1,2.260108,2.260108,0.45239204,0.45239204,0.0
312,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
313,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
314,1,128,16.840334,3,200,3,2.2598488,3.5142653,0.45239204,0.62296134,1.0
315,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
316,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
317,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
318,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
319,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
320,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
321,1,128,3.0971568,3,200,1,2.2598488,2.2598488,0.62296134,0.62296134,0.0
322,1,128,9.563691,3,200,3,2.2598488,3.5142653,0.45239204,0.76768476,0.0
323,1,128,6.5947733,3,200,2,2.2598488,3.5142653,0.45239204,0.62296134,0.0
324,1,128,4.002649,3,200,1,2.2598488,2.2598488,0.8050918,0.8050918,0.0
325,1,128,2.249143,3,200,1,2.2598488,2.2598488,0.45239204,0.45239204,0.0
326,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
327,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
328,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
329,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
330,1,128,9.051041,3,200,2,2.2598488,3.5142653,0.71250916,0.71250916,0.0
331,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
332,1,128,7.0399756,3,200,2,2.2598488,3.5142653,0.45239204,0.71250916,0.0
333,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
334,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
335,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
336,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
337,1,128,7.0399756,3,200,2,2.2598488,3.5142653,0.45239204,0.71250916,0.0
338,1,128,15.99232,3,200,3,2.2598488,3.5142653,0.45239204,0.45239204,1.0
